Uuid,Void/Retire,Fully specified name:en,Data class,Data type,Same as mappings,_version:1,_order:2500
73041AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ceftriaxone,Drug,N/A,CIEL:73041,,
73043AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cefuroxime,Drug,N/A,CIEL:73043,,
73048AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Celecoxib,Drug,N/A,CIEL:73048,,
73136AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cetirizine,Drug,N/A,CIEL:73136,,
73138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cetrimide,Drug,N/A,CIEL:73138,,
73239AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Chloramphenicol,Drug,N/A,CIEL:73239,,
73263AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Chlorhexidine,Drug,N/A,CIEL:73263,,
73330AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Chlorpromazine,Drug,N/A,CIEL:73330,,
73449AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ciprofloxacin,Drug,N/A,CIEL:73449,,
73498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Clarithromycin,Drug,N/A,CIEL:73498,,
73546AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Clindamycin,Drug,N/A,CIEL:73546,,
73565AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Clobetasol propionate,Drug,N/A,CIEL:73565,,
73624AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Clotrimazole,Drug,N/A,CIEL:73624,,
73628AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cloxacillin,Drug,N/A,CIEL:73628,,
73667AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Codeine,Drug,N/A,CIEL:73667,,
74609AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dexamethasone,Drug,N/A,CIEL:74609,,
74666AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dextromethorphan,Drug,N/A,CIEL:74666,,
74676AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"Dextrose, anhydrous",Drug,N/A,CIEL:74676,,
74745AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Diazepam,Drug,N/A,CIEL:74745,,
74778AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Diclofenac,Drug,N/A,CIEL:74778,,
74860AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Digoxin,Drug,N/A,CIEL:74860,,
74874AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dihydrocodeine,Drug,N/A,CIEL:74874,,
75222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Doxycycline,Drug,N/A,CIEL:75222,,
75688AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Enoxaparin sodium,Drug,N/A,CIEL:75688,,
